"Data generated on Tuesday, February 14, 2017 at 2:19:27 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"4","Korea, South","14","0704902050","CABBAGE, FR/CH","0","497","0","80","0","104","US","KS","0704902050",
"4","Korea, South","15","0704100050","CAULFLOWER FR/CH","44","996","266","403","86","100","US","KS","0704100050",
"4","Korea, South","16","0709600050","PEPPERS FR/CH","4","0","0","20","13","80","US","KS","0709600050",
"4","Korea, South","17","0702000065","TOMATOES OTHER","0","0","0","30","209","30","US","KS","0702000065",
"4","Korea, South","18","0810100050","STRAWBERRIES FR","45","0","0","0","0","26","US","KS","0810100050",
"4","Korea, South","19","0702000045","CHERRY TOMATO","0","0","89","0","0","0","US","KS","0702000045",
"4","Korea, South","20","0703100050","ONION SETS FR/CH","0","974","0","8","30","0","US","KS","0703100050",
"4","Korea, South","21","0706103050","CARROTS FR/CH","0","0","13","0","40","0","US","KS","0706103050",
"4","Korea, South","22","0808300050","PEARS, FRESH","0","148","30","0","0","0","US","KS","0808300050",
"4","Korea, South","23","0809200050","CHERRIES FR","39,405","0","0","0","0","0","US","KS","0809200050",
"5","Taiwan","1","0808100050","APPLES FRESH","76,407","84,347","82,139","88,754","75,377","70,635","US","TW","0808100050",
"5","Taiwan","2","0806100050","GRAPES FRESH","16,740","21,296","30,186","28,447","33,782","41,414","US","TW","0806100050",
"5","Taiwan","3","0809290050","CHER N/SR FR","0","45,980","25,816","35,099","30,442","39,791","US","TW","0809290050",
"5","Taiwan","4","0805100065","ORANGES NES FR/D","6,152","5,881","8,174","7,108","7,606","15,335","US","TW","0805100065",
"5","Taiwan","5","0901210050","COFFEE RST ND","7,205","9,992","9,042","11,239","18,159","15,240","US","TW","0901210050",
"5","Taiwan","6","0705110050","HD LETTUCE FR/CH","8,013","11,569","12,600","7,960","12,981","9,712","US","TW","0705110050",
"5","Taiwan","7","0703100050","ONION SETS FR/CH","5,901","9,200","9,746","4,793","8,278","9,081","US","TW","0703100050",
"5","Taiwan","8","0704100050","CAULFLOWER FR/CH","2,922","3,480","3,815","5,143","5,036","7,320","US","TW","0704100050",
"5","Taiwan","9","0705190050","LETTUCE X HD FR","2,662","3,405","4,833","11,351","7,676","6,618","US","TW","0705190050",
"5","Taiwan","10","0704904030","BROCCOLI FR/CH","5,117","5,520","4,493","1,445","775","4,422","US","TW","0704904030",
"5","Taiwan","11","0709400050","CELERY FR/CH","1,595","4,143","4,690","2,998","2,258","2,190","US","TW","0709400050",
"5","Taiwan","12","0808300050","PEARS, FRESH","0","1,761","3,175","2,545","2,005","2,079","US","TW","0808300050",
"5","Taiwan","13","0702000045","CHERRY TOMATO","0","18","0","0","0","1,605","US","TW","0702000045",
"5","Taiwan","14","0805502050","LEMONS FR/D","480","470","632","581","1,560","1,513","US","TW","0805502050",
"5","Taiwan","15","2103204050","TMTO SAUCES NES","1,017","1,181","1,163","1,106","1,236","1,448","US","TW","2103204050",
"5","Taiwan","16","0805400050","GRAPEFRUIT,FRESH","0","716","429","983","577","826","US","TW","0805400050",
"5","Taiwan","17","0810400029","CULT BLUEBERS FR","227","1,520","1,156","2,311","1,956","790","US","TW","0810400029",
"5","Taiwan","18","0810100050","STRAWBERRIES FR","192","620","868","1,272","864","750","US","TW","0810100050",
"5","Taiwan","19","0706103050","CARROTS FR/CH","24","218","82","34","23","226","US","TW","0706103050",
"5","Taiwan","20","0702000065","TOMATOES OTHER","0","10","0","0","0","209","US","TW","0702000065",
"5","Taiwan","21","0704902050","CABBAGE, FR/CH","0","1,990","67","21","103","91","US","TW","0704902050",
"5","Taiwan","22","0709600050","PEPPERS FR/CH","7","18","15","19","24","18","US","TW","0709600050",
"5","Taiwan","23","0709700050","SPINACH FR/CH","0","0","0","0","0","3","US","TW","0709700050",
"5","Taiwan","24","0808200050","PEARS/QUINCE FR","2,313","0","0","0","0","0","US","TW","0808200050",
"5","Taiwan","25","0809200050","CHERRIES FR","29,278","0","0","0","0","0","US","TW","0809200050",
"6","European Union-28","1","0901210050","COFFEE RST ND","16,427","9,364","8,651","9,001","24,051","34,688","US","R25","0901210050",
"6","European Union-28","2","0805400050","GRAPEFRUIT,FRESH","0","35,863","34,809","33,271","28,216","22,715","US","R25","0805400050",
"6","European Union-28","3","0806100050","GRAPES FRESH","5,992","8,610","16,762","14,385","6,636","12,256","US","R25","0806100050",
"6","European Union-28","4","0703100050","ONION SETS FR/CH","41","254","29","12","11","10,621","US","R25","0703100050",
"6","European Union-28","5","0810400029","CULT BLUEBERS FR","109","1,076","2,263","488","1,744","6,168","US","R25","0810400029",
"6","European Union-28","6","0808100050","APPLES FRESH","14,712","16,233","16,902","11,180","8,437","4,634","US","R25","0808100050",
"6","European Union-28","7","0809290050","CHER N/SR FR","0","17,922","8,409","7,772","6,002","4,287","US","R25","0809290050",
"6","European Union-28","8","0810100050","STRAWBERRIES FR","6,735","5,237","5,675","5,382","3,054","3,440","US","R25","0810100050",
"6","European Union-28","9","2103204050","TMTO SAUCES NES","3,556","5,002","5,393","3,951","4,135","3,178","US","R25","2103204050",
"6","European Union-28","10","0705110050","HD LETTUCE FR/CH","12","268","256","140","181","333","US","R25","0705110050",
"6","European Union-28","11","0706103050","CARROTS FR/CH","2,957","1,620","2,231","323","138","232","US","R25","0706103050",
"6","European Union-28","12","0709600050","PEPPERS FR/CH","191","11","182","273","749","219","US","R25","0709600050",
"6","European Union-28","13","0805502050","LEMONS FR/D","0","105","28","45","4","209","US","R25","0805502050",
"6","European Union-28","14","0705190050","LETTUCE X HD FR","456","958","574","278","210","131","US","R25","0705190050",
"6","European Union-28","15","0805100065","ORANGES NES FR/D","461","57","461","95","181","125","US","R25","0805100065",
"6","European Union-28","16","0704100050","CAULFLOWER FR/CH","0","239","875","128","0","122","US","R25","0704100050",
"6","European Union-28","17","0704904030","BROCCOLI FR/CH","4","450","95","0","13","46","US","R25","0704904030",
